cbsa_code,cbsa_name,year,age_group,owner_units_estimated,renter_units_estimated,total_age_group_units,age_group_share_of_total_units,owner_rate_within_age_group,renter_rate_within_age_group,owner_units_cps,renter_units_cps,total_units_cps,avg_hh_income_cps,avg_person_income_cps,avg_hh_size_cps,avg_age_cps,avg_education_cps,married_share_cps,cps_records,owner_rate_cps,renter_rate_cps,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,annual_change_pct,hpi
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013,65-74,52131.0,0.0,52131.0,0.11660407491326998,1.0,0.0,8890226.0,578128.0,9468354.0,104946.44198030619,51532.250320383035,2.546104000758738,67.7997246406292,40.15898940829631,0.82525410435647,38.0,0.93894102396256,0.06105897603744009,788.0,929.0,1119.0,1394.0,1496.0,0.09000000000000001,491.6325
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013,75+,37650.0,0.0,37650.0,0.0842136813121677,1.0,0.0,3932704.0,0.0,3932704.0,94762.51617309617,44764.005724305716,2.4084858662131703,79.73999772166937,40.64639444005956,0.8379623790653963,14.0,1.0,0.0,788.0,929.0,1119.0,1394.0,1496.0,0.09000000000000001,491.6325
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2014,15-34,27980.0,39862.0,67842.0,0.14086062808201402,0.4124288788655995,0.5875711211344005,3590554.0,2561346.0,6151900.0,76108.44963539719,47849.74321299111,3.2643251678343277,30.300284464962044,40.1890716689153,0.6080518213885141,18.0,0.5836496041873243,0.41635039581267574,799.0,942.0,1135.0,1414.0,1518.0,0.9824999999999999,497.205
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2014,35-44,57786.0,25257.0,83043.0,0.1724225279003374,0.6958563635706803,0.30414363642931974,10590982.0,6169688.0,16760670.0,133177.36571795758,100233.85408530805,3.427330768996705,39.401489677918605,41.35341570474211,0.7546547960194908,58.0,0.6318949063492092,0.3681050936507908,799.0,942.0,1135.0,1414.0,1518.0,0.9824999999999999,497.205
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2014,45-54,83731.0,25971.0,109702.0,0.22777472099662602,0.7632586461504804,0.2367413538495196,10564170.0,1438640.0,12002810.0,132852.19893291654,45977.34660417019,3.9291267628163737,50.829171169084574,41.51283357813712,0.8406518140335472,38.0,0.8801414002221146,0.11985859977788535,799.0,942.0,1135.0,1414.0,1518.0,0.9824999999999999,497.205
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2014,55-64,82007.0,15611.0,97618.0,0.20268466130288088,0.8400807228175131,0.15991927718248683,14243416.0,897442.0,15140858.0,130625.19996607854,78449.54177510944,2.483488188053808,58.37799033581849,40.60742766361061,0.8703945311421585,38.0,0.9407271371278959,0.05927286287210408,799.0,942.0,1135.0,1414.0,1518.0,0.9824999999999999,497.205
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2014,65-74,54994.0,12450.0,67444.0,0.14003425901894628,0.8154024079236107,0.1845975920763893,10090172.0,1420006.0,11510178.0,70607.71237647237,37367.68704619512,3.0702854464978735,67.41042666759802,39.914276217101076,0.6199254260012312,32.0,0.8766304048469102,0.12336959515308972,799.0,942.0,1135.0,1414.0,1518.0,0.9824999999999999,497.205
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2014,75+,42421.0,13555.0,55976.0,0.11622320269919544,0.7578426468486494,0.2421573531513506,1743578.0,0.0,1743578.0,51134.78156182287,25555.026112969997,3.114090680198993,77.78522670049749,39.4429546599005,0.4429546599005034,4.0,1.0,0.0,799.0,942.0,1135.0,1414.0,1518.0,0.9824999999999999,497.205
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2015,15-34,27446.0,39397.0,66843.0,0.14065074351749954,0.4106039525455171,0.5893960474544829,4551242.0,4754918.0,9306160.0,82136.9057241655,41400.58357582505,3.4344958608061757,30.259611912969476,41.29603810809184,0.5762303678423754,44.0,0.4890569257352119,0.510943074264788,814.0,959.0,1156.0,1440.0,1546.0,1.8125,505.79999999999995
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2015,35-44,55507.0,25318.0,80825.0,0.17007160577475428,0.6867553356016084,0.3132446643983916,8130492.0,6736374.0,14866866.0,96336.13908109484,49044.070901964136,3.7108189446249127,39.57358746624877,40.98596879799683,0.7255659666267255,74.0,0.5468867480207328,0.45311325197926716,814.0,959.0,1156.0,1440.0,1546.0,1.8125,505.79999999999995
