county_fips,county,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,annual_change_pct,hpi
34027,Morris,2014,179654,132204,47450,0.7358811938504013,0.2641188061495986,1022,1059,1265,1632,1865,2.86,854.75
34029,Ocean,2014,220941,177605,43336,0.8038571383310477,0.1961428616689523,917,1083,1345,1865,2193,3.86,702.57
34031,Passaic,2014,159309,84257,75052,0.5288903953951126,0.4711096046048874,1094,1182,1402,1816,2059,2.55,710.81
34033,Salem,2014,23832,16773,7059,0.7038016112789527,0.2961983887210473,799,942,1135,1414,1518,-1.68,405.46
34035,Somerset,2014,117482,86722,30760,0.7381726562367001,0.2618273437632999,928,1184,1458,1892,2482,2.78,710.19
34037,Sussex,2014,54174,44936,9238,0.829475394100491,0.170524605899509,1022,1059,1265,1632,1865,0.95,609.89
34039,Union,2014,186037,110224,75813,0.592484290759365,0.4075157092406349,1022,1059,1265,1632,1865,2.8,798.64
34041,Warren,2014,41607,29710,11897,0.714062537553777,0.285937462446223,716,960,1171,1530,1707,2.54,537.19
34001,Atlantic,2015,101813,69152,32661,0.6792059953051182,0.3207940046948818,817,947,1176,1626,1890,-1.26,604.32
34003,Bergen,2015,336675,217086,119589,0.644793940744041,0.355206059255959,1070,1156,1371,1776,2014,2.62,881.81
34005,Burlington,2015,163505,119488,44017,0.7307911073055869,0.269208892694413,814,959,1156,1440,1546,1.84,597.16
34007,Camden,2015,185113,123985,61128,0.6697800802752913,0.3302199197247087,814,959,1156,1440,1546,1.15,478.27
34009,Cape May,2015,38708,29608,9100,0.7649064792807688,0.2350935207192311,668,833,1122,1588,1671,2.95,827.15
34011,Cumberland,2015,50380,32877,17503,0.6525803890432711,0.3474196109567288,784,905,1115,1432,1795,0.01,470.5
34013,Essex,2015,279874,118393,161481,0.4230225029834854,0.5769774970165146,1025,1063,1269,1637,1871,3.16,905.86
34015,Gloucester,2015,103876,81254,22622,0.7822211097847434,0.2177788902152566,814,959,1156,1440,1546,0.74,528.03
34017,Hudson,2015,255508,76341,179167,0.2987812514676644,0.7012187485323356,1009,1109,1315,1673,1847,6.17,840.25
34019,Hunterdon,2015,47057,38827,8230,0.8251057228467603,0.1748942771532396,952,1214,1495,1940,2545,0.87,706.1
34021,Mercer,2015,127965,80484,47481,0.6289532293986637,0.3710467706013363,932,1053,1269,1659,1919,1.64,699.38
34023,Middlesex,2015,280855,174162,106693,0.620113581741468,0.379886418258532,952,1214,1495,1940,2545,3.11,633.86
34025,Monmouth,2015,234365,172172,62193,0.7346318776267787,0.2653681223732212,936,1106,1373,1903,2239,2.52,825.58
34027,Morris,2015,179480,133438,46042,0.7434700245152663,0.2565299754847336,1025,1063,1269,1637,1871,2.06,872.34
